Frame,Original_Bits,Compressed_Size,Compression_Ratio
196,204392,4798,42.599416423509794
197,204385,4798,42.597957482284286
198,204391,4798,42.599208003334724
199,921600,2,460800.0
200,921600,2,460800.0
201,921600,2,460800.0
202,921600,2,460800.0
203,921600,2,460800.0
204,921600,2,460800.0
205,204391,4798,42.599208003334724
206,204392,4798,42.599416423509794
207,204384,4798,42.59774906210921
208,204393,4798,42.59962484368487
209,204385,4798,42.597957482284286
210,921600,2,460800.0
211,204387,4798,42.598374322634434
212,204393,4798,42.59962484368487
213,204396,4798,42.60025010421009
214,921600,2,460800.0
215,921600,2,460800.0
216,921600,2,460800.0
217,921600,2,460800.0
218,921600,2,460800.0
219,921600,2,460800.0
220,253240,4798,52.78032513547311
221,253240,4798,52.78032513547311
222,253240,4798,52.78032513547311
223,253240,4798,52.78032513547311
224,253240,4798,52.78032513547311
225,921600,2,460800.0
226,921600,2,460800.0
227,921600,2,460800.0
228,921600,2,460800.0
229,921600,2,460800.0
230,921600,2,460800.0
231,921600,2,460800.0
232,253240,4798,52.78032513547311
233,253240,4798,52.78032513547311
234,253240,4798,52.78032513547311
235,253240,4798,52.78032513547311
236,253240,4798,52.78032513547311
237,253240,4798,52.78032513547311
238,253242,4798,52.78074197582326
239,253240,4798,52.78032513547311
240,253240,4798,52.78032513547311
241,921600,2,460800.0
242,921600,2,460800.0
243,921600,2,460800.0
244,921600,2,460800.0
245,921600,2,460800.0
246,308325,4798,64.2611504793664
247,308326,4798,64.26135889954148
248,308330,4798,64.26219258024177
249,308328,4798,64.26177573989162
250,308327,4798,64.26156731971655
251,308324,4798,64.26094205919134
252,921600,2,460800.0
253,921600,2,460800.0
254,921600,2,460800.0
255,921600,2,460800.0
256,921600,2,460800.0
257,921600,2,460800.0
258,921600,2,460800.0
259,308330,4798,64.26219258024177
260,308327,4798,64.26156731971655
261,308331,4798,64.26240100041684
262,308326,4798,64.26135889954148
263,308332,4798,64.26260942059191
264,921600,2,460800.0
265,308327,4798,64.26156731971655
266,308325,4798,64.2611504793664
267,308330,4798,64.26219258024177
268,921600,2,460800.0
269,921600,2,460800.0
270,921600,2,460800.0
271,921600,2,460800.0
272,921600,2,460800.0
273,921600,2,460800.0
274,308327,4798,64.26156731971655
275,308802,4798,64.3605669028762
276,308803,4798,64.36077532305127
277,308805,4798,64.36119216340141
278,308804,4798,64.36098374322634
279,308804,4798,64.36098374322634
280,921600,2,460800.0
281,921600,2,460800.0
282,921600,2,460800.0
283,921600,2,460800.0
284,921600,2,460800.0
285,308802,4798,64.3605669028762
286,308802,4798,64.3605669028762
287,308805,4798,64.36119216340141
288,308803,4798,64.36077532305127
289,308802,4798,64.3605669028762
290,308801,4798,64.36035848270113
291,921600,2,460800.0
292,921600,2,460800.0
293,308805,4798,64.36119216340141
294,921600,2,460800.0
295,921600,2,460800.0
296,921600,2,460800.0
297,921600,2,460800.0
298,921600,2,460800.0
299,921600,2,460800.0
300,921600,2,460800.0
301,308803,4798,64.36077532305127
302,308803,4798,64.36077532305127
303,308804,4798,64.36098374322634
304,2723,2882,0.9448299791811242
305,2723,2882,0.9448299791811242
306,921600,2,460800.0
307,921600,2,460800.0
308,921600,2,460800.0
309,921600,2,460800.0
310,921600,2,460800.0
311,921600,2,460800.0
312,2723,2882,0.9448299791811242
313,2723,2882,0.9448299791811242
314,2723,2882,0.9448299791811242
315,2723,2882,0.9448299791811242
316,2723,2882,0.9448299791811242
317,2723,2882,0.9448299791811242
318,921600,2,460800.0
319,921600,2,460800.0
320,2723,2882,0.9448299791811242
321,921600,2,460800.0
322,921600,2,460800.0
323,921600,2,460800.0
324,921600,2,460800.0
325,921600,2,460800.0
326,921600,2,460800.0
327,2723,2882,0.9448299791811242
328,2723,2882,0.9448299791811242
329,2723,2882,0.9448299791811242
330,2723,2882,0.9448299791811242
331,2723,2882,0.9448299791811242
332,2723,2882,0.9448299791811242
333,921600,2,460800.0
334,921600,2,460800.0
335,921600,2,460800.0
336,921600,2,460800.0
337,921600,2,460800.0
338,921600,2,460800.0
339,921600,2,460800.0
340,156018,4798,32.51729887453106
341,156018,4798,32.51729887453106
342,156023,4798,32.51834097540642
343,156017,4798,32.51709045435598
344,156031,4798,32.520008336807
345,921600,2,460800.0
346,921600,2,460800.0
347,156013,4798,32.51625677365569
348,921600,2,460800.0
349,921600,2,460800.0
350,921600,2,460800.0
351,921600,2,460800.0
352,921600,2,460800.0
353,921600,2,460800.0
354,156021,4798,32.517924135056276
355,156017,4798,32.51709045435598
356,156027,4798,32.51917465610671
357,156021,4798,32.517924135056276
358,156020,4798,32.5177157148812
359,156017,4798,32.51709045435598
360,921600,2,460800.0
361,921600,2,460800.0
362,921600,2,460800.0
