Byte_Position,Bit_1_Count,Bit_0_Count
381952,3950,4242
382976,5949,2243
384000,8192,0
385024,8192,0
386048,8192,0
387072,8192,0
388096,8192,0
389120,6285,1907
390144,3856,4336
391168,5467,2725
392192,8192,0
393216,8192,0
394240,8192,0
395264,8192,0
396288,8192,0
397312,8192,0
398336,8192,0
399360,8192,0
400384,6328,1864
401408,6243,1949
402432,8192,0
403456,8192,0
404480,8192,0
405504,8192,0
406528,8192,0
407552,8192,0
408576,8192,0
409600,8192,0
410624,8192,0
411648,4620,3572
412672,7683,509
413696,8192,0
414720,8192,0
415744,8192,0
416768,8192,0
417792,8192,0
418816,8192,0
419840,8192,0
420864,8192,0
421888,8192,0
422912,4927,3265
423936,4015,4177
424960,4131,4061
425984,4073,4119
427008,4038,4154
428032,4066,4126
429056,4087,4105
430080,4011,4181
431104,4094,4098
432128,4168,4024
433152,3998,4194
434176,4055,4137
435200,4083,4109
436224,4103,4089
437248,4084,4108
438272,6924,1268
439296,8192,0
440320,8192,0
441344,8192,0
442368,8192,0
443392,8192,0
444416,7434,758
445440,4039,4153
446464,4114,4078
447488,8192,0
448512,8192,0
449536,8192,0
450560,8192,0
451584,8192,0
452608,8192,0
453632,8192,0
454656,8192,0
455680,7679,513
456704,4156,4036
457728,4064,4128
458752,4090,4102
459776,4124,4068
460800,8192,0
461824,8192,0
462848,8192,0
463872,8192,0
464896,8192,0
465920,8192,0
466944,6017,2175
467968,3906,4286
468992,5602,2590
470016,8192,0
471040,8192,0
472064,8192,0
473088,8192,0
474112,8192,0
475136,8192,0
476160,8192,0
477184,8192,0
478208,6130,2062
479232,4106,4086
480256,4148,4044
481280,4054,4138
482304,3954,4238
483328,4832,3360
484352,8192,0
485376,8192,0
486400,8192,0
487424,8192,0
488448,8192,0
489472,4434,3758
490496,4071,4121
491520,4062,4130
492544,4078,4114
493568,4035,4157
494592,7054,1138
495616,8192,0
496640,8192,0
497664,8192,0
498688,8192,0
499712,8192,0
500736,4393,3799
501760,4742,3450
502784,8192,0
503808,8192,0
504832,8192,0
505856,8192,0
506880,8192,0
507904,8192,0
508928,8192,0
509952,8192,0
510976,6946,1246
512000,3962,4230
513024,4064,4128
514048,4120,4072
515072,4150,4042
516096,4051,4141
517120,4132,4060
518144,4055,4137
519168,7640,552
520192,8192,0
521216,8192,0
522240,7229,963
523264,3861,4331
524288,6207,1985
525312,8192,0
526336,8192,0
527360,8192,0
528384,8192,0
529408,8192,0
530432,8192,0
531456,8192,0
532480,8192,0
533504,5522,2670
534528,5446,2746
535552,8192,0
536576,8192,0
537600,8192,0
538624,8192,0
539648,8192,0
540672,8192,0
541696,8192,0
542720,8192,0
543744,8192,0
544768,5469,2723
545792,4100,4092
546816,4061,4131
547840,4036,4156
548864,4147,4045
549888,4123,4069
550912,4088,4104
551936,4100,4092
552960,4055,4137
553984,5744,2448
555008,8192,0
556032,5707,2485
557056,4085,4107
558080,4179,4013
559104,4078,4114
560128,4137,4055
561152,4023,4169
562176,4045,4147
563200,4014,4178
564224,4014,4178
565248,4023,4169
566272,4054,4138
567296,3964,4228
568320,4058,4134
569344,4017,4175
570368,3986,4206
571392,4136,4056
572416,4171,4021
573440,4024,4168
574464,4127,4065
575488,4037,4155
576512,3935,4257
577536,4040,4152
578560,4097,4095
579584,4015,4177
580608,4068,4124
581632,4076,4116
582656,4098,4094
583680,4113,4079
584704,4135,4057
585728,4133,4059
586752,4086,4106
587776,4184,4008
588800,3998,4194
589824,4072,4120
590848,4123,4069
591872,4095,4097
592896,3868,4324
593920,3794,4398
594944,4085,4107
595968,4115,4077
596992,4214,3978
598016,4038,4154
599040,4109,4083
600064,4069,4123
601088,4090,4102
602112,4049,4143
603136,4088,4104
604160,3846,4346
605184,6771,1421
606208,8192,0
607232,8192,0
608256,8192,0
609280,8192,0
610304,8192,0
611328,5088,3104
612352,4090,4102
613376,4086,4106
614400,4088,4104
615424,4048,4144
616448,4169,4023
617472,4058,4134
618496,4131,4061
619520,4164,4028
620544,4077,4115
621568,4111,4081
622592,4068,4124
623616,4124,4068
624640,4071,4121
625664,4086,4106
626688,4126,4066
627712,4143,4049
628736,4143,4049
629760,4007,4185
630784,4071,4121
631808,4056,4136
632832,4106,4086
633856,4146,4046
634880,4106,4086
635904,4049,4143
636928,3812,4380
637952,5680,2512
638976,8192,0
640000,8192,0
641024,8192,0
642048,8192,0
643072,8192,0
644096,7954,238
645120,3956,4236
646144,4145,4047
647168,4068,4124
648192,4142,4050
649216,4111,4081
650240,5440,2752
651264,8192,0
652288,8192,0
653312,8192,0
654336,8192,0
655360,8122,70
656384,3945,4247
657408,5293,2899
658432,8192,0
659456,8192,0
660480,8192,0
661504,8192,0
662528,8192,0
663552,8192,0
664576,8192,0
665600,8192,0
666624,6335,1857
667648,4587,3605
668672,8192,0
669696,8192,0
670720,8192,0
671744,8192,0
672768,8192,0
673792,8192,0
674816,8192,0
675840,8192,0
676864,8192,0
677888,6395,1797
678912,7721,471
679936,8192,0
680960,8192,0
681984,8192,0
683008,8192,0
684032,8192,0
685056,8192,0
686080,8192,0
687104,8192,0
688128,8192,0
689152,4890,3302
690176,3959,4233
691200,4040,4152
692224,4105,4087
693248,4138,4054
694272,4000,4192
695296,4067,4125
696320,4064,4128
697344,4096,4096
698368,6883,1309
699392,8192,0
700416,4932,3260
701440,4139,4053
702464,4055,4137
703488,4139,4053
704512,4021,4171
705536,4029,4163
706560,4056,4136
707584,3950,4242
708608,5589,2603
709632,8192,0
710656,7396,796
711680,3872,4320
712704,4021,4171
713728,8192,0
714752,8192,0
715776,8192,0
716800,8192,0
717824,8192,0
718848,8192,0
719872,8192,0
720896,8192,0
721920,7693,499
722944,4012,4180
723968,4099,4093
724992,4194,3998
726016,4101,4091
727040,4087,4105
728064,4068,4124
729088,3970,4222
730112,4070,4122
731136,4136,4056
732160,4106,4086
733184,4172,4020
734208,4147,4045
735232,4085,4107
736256,4111,4081
737280,4084,4108
738304,4077,4115
739328,3966,4226
740352,4548,3644
741376,8192,0
742400,8192,0
743424,8192,0
744448,5930,2262
745472,4004,4188
746496,4081,4111
747520,3986,4206
748544,4104,4088
749568,4171,4021
750592,4076,4116
751616,4147,4045
752640,4122,4070
753664,4100,4092
754688,4171,4021
755712,4069,4123
756736,4121,4071
757760,4170,4022
758784,4143,4049
759808,4132,4060
760832,4043,4149
761856,4034,4158
762880,4004,4188
763904,4064,4128
764928,4160,4032
765952,4160,4032
766976,4050,4142
768000,4070,4122
769024,4104,4088
770048,4115,4077
771072,4137,4055
