Frame,Original_Bits,Compressed_Size,Compression_Ratio
198,921600,2,460800.0
199,921600,2,460800.0
200,921600,2,460800.0
201,204388,4798,42.598582742809505
202,204388,4798,42.598582742809505
203,204389,4798,42.598791162984575
204,204390,4798,42.59899958315965
205,204385,4798,42.597957482284286
206,204392,4798,42.599416423509794
207,204390,4798,42.59899958315965
208,921600,2,460800.0
209,921600,2,460800.0
210,921600,2,460800.0
211,921600,2,460800.0
212,921600,2,460800.0
213,204390,4798,42.59899958315965
214,204393,4798,42.59962484368487
215,253240,4798,52.78032513547311
216,253239,4798,52.78011671529804
217,253240,4798,52.78032513547311
218,253240,4798,52.78032513547311
219,253240,4798,52.78032513547311
220,253240,4798,52.78032513547311
221,253241,4798,52.780533555648184
222,921600,2,460800.0
223,921600,2,460800.0
224,921600,2,460800.0
225,921600,2,460800.0
226,921600,2,460800.0
227,921600,2,460800.0
228,253240,4798,52.78032513547311
229,253240,4798,52.78032513547311
230,253240,4798,52.78032513547311
231,253240,4798,52.78032513547311
232,253240,4798,52.78032513547311
233,253240,4798,52.78032513547311
234,921600,2,460800.0
235,921600,2,460800.0
236,921600,2,460800.0
237,921600,2,460800.0
238,921600,2,460800.0
239,921600,2,460800.0
240,253240,4798,52.78032513547311
241,253240,4798,52.78032513547311
242,253240,4798,52.78032513547311
243,253240,4798,52.78032513547311
244,253240,4798,52.78032513547311
245,308327,4798,64.26156731971655
246,308328,4798,64.26177573989162
247,308328,4798,64.26177573989162
248,308327,4798,64.26156731971655
249,921600,2,460800.0
250,921600,2,460800.0
251,921600,2,460800.0
252,921600,2,460800.0
253,921600,2,460800.0
254,921600,2,460800.0
255,308326,4798,64.26135889954148
256,308328,4798,64.26177573989162
257,308327,4798,64.26156731971655
258,308328,4798,64.26177573989162
259,308325,4798,64.2611504793664
260,308325,4798,64.2611504793664
261,921600,2,460800.0
262,921600,2,460800.0
263,921600,2,460800.0
264,921600,2,460800.0
265,921600,2,460800.0
266,921600,2,460800.0
267,921600,2,460800.0
268,308327,4798,64.26156731971655
269,308325,4798,64.2611504793664
270,921600,2,460800.0
271,308330,4798,64.26219258024177
272,308328,4798,64.26177573989162
273,308326,4798,64.26135889954148
274,308802,4798,64.3605669028762
275,308802,4798,64.3605669028762
276,921600,2,460800.0
277,921600,2,460800.0
278,921600,2,460800.0
279,921600,2,460800.0
280,921600,2,460800.0
281,921600,2,460800.0
282,308801,4798,64.36035848270113
283,308803,4798,64.36077532305127
284,308802,4798,64.3605669028762
285,308802,4798,64.3605669028762
286,308802,4798,64.3605669028762
287,308804,4798,64.36098374322634
288,921600,2,460800.0
289,921600,2,460800.0
290,921600,2,460800.0
291,921600,2,460800.0
292,921600,2,460800.0
293,921600,2,460800.0
294,308802,4798,64.3605669028762
295,308804,4798,64.36098374322634
296,308804,4798,64.36098374322634
297,308803,4798,64.36077532305127
298,308802,4798,64.3605669028762
299,308803,4798,64.36077532305127
300,308801,4798,64.36035848270113
301,308802,4798,64.3605669028762
302,308803,4798,64.36077532305127
303,921600,2,460800.0
304,921600,2,460800.0
305,921600,2,460800.0
306,921600,2,460800.0
307,921600,2,460800.0
308,921600,2,460800.0
309,2723,2882,0.9448299791811242
310,2723,2882,0.9448299791811242
311,2723,2882,0.9448299791811242
312,2723,2882,0.9448299791811242
313,2723,2882,0.9448299791811242
314,2723,2882,0.9448299791811242
315,921600,2,460800.0
316,921600,2,460800.0
317,921600,2,460800.0
318,921600,2,460800.0
319,921600,2,460800.0
320,921600,2,460800.0
321,2723,2882,0.9448299791811242
322,2723,2882,0.9448299791811242
323,2723,2882,0.9448299791811242
324,2723,2882,0.9448299791811242
325,2723,2882,0.9448299791811242
326,2723,2882,0.9448299791811242
327,2723,2882,0.9448299791811242
328,2723,2882,0.9448299791811242
329,921600,2,460800.0
330,921600,2,460800.0
331,921600,2,460800.0
332,921600,2,460800.0
333,921600,2,460800.0
334,921600,2,460800.0
335,921600,2,460800.0
336,156011,4798,32.51583993330554
337,168458,4798,35.11004585243852
338,156012,4798,32.51604835348062
339,168458,4798,35.11004585243852
340,168457,4798,35.10983743226344
341,168459,4798,35.11025427261359
342,921600,2,460800.0
343,921600,2,460800.0
344,921600,2,460800.0
345,921600,2,460800.0
346,921600,2,460800.0
347,921600,2,460800.0
348,168458,4798,35.11004585243852
349,168455,4798,35.1094205919133
350,168460,4798,35.11046269278866
351,168456,4798,35.10962901208837
352,168462,4798,35.11087953313881
353,168457,4798,35.10983743226344
354,156022,4798,32.51813255523135
355,156010,4798,32.51563151313047
356,157785,4838,32.61368334022323
357,921600,2,460800.0
358,921600,2,460800.0
359,921600,2,460800.0
360,921600,2,460800.0
361,921600,2,460800.0
362,921600,2,460800.0
363,168458,4798,35.11004585243852
